"STUDY_ID","REALM","CLIMATE","TAXA","TITLE","AB_BIO","DATA_POINTS","START_YEAR","END_YEAR","NUMBER_OF_SPECIES","NUMBER_OF_SAMPLES","NUMBER_LAT_LONG","TOTAL","ABUNDANCE_TYPE","BIOMASS_TYPE"
58,"Terrestrial","Tropical","Birds","Avian populations long-term monitoring dataset. San Juan. Puerto Rico Luquillo Long Term Ecological Research Site Database Grid points bird counts DBAS 23","A",18,1991,2008,31,6,1,1171,"Count",NA
59,"Terrestrial","Temperate","Mammals","Long-term monitoring and experimental manipulation of a Chihuahuan Desert ecosystem near Portal. Arizona. USA","A",26,1977,2002,29,2,1,427,"Count",NA
60,"Terrestrial","Tropical","Terrestrial plants","Forest Census Plot on Barro Colorado Island","A",8,1982,2015,325,8,1,2429,"Count",NA
63,"Terrestrial","Temperate","Terrestrial invertebrates","The development of dragonfly communities and the consequences of territorial behaviour A 27-year study on small ponds at Woodwalton Fen. Cambridgeshire. United Kingdom","A",29,1959,1988,5,1,1,132,"Count",NA
67,"Terrestrial","Temperate","Birds","Animal Demography Unit - Coordinated Waterbird Counts (CWAC) (AfrOBIS)","A",24,1983,2006,68,417,417,15448,"Count",NA
68,"Marine","Temperate","Marine invertebrates","Marine and Coastal Management - Copepod Surveys (AfrOBIS)","A",13,1988,2000,15,2569,2569,38535,"Presence/Absence",NA
69,"Marine","Temperate","Birds","Seabird 2000 (EurOBIS)","A",10,1994,2003,27,9864,1476,22694,"Presence/Absence",NA
71,"Marine","Polar/Temperate","Marine plants","Phytoplankton from the White Sea. Barents Sea. Norwegian Sea and Arctic Basin 1993-2003","A",10,1993,2003,412,3250,133,35323,"Count",NA
72,"Marine","Polar/Temperate","Marine invertebrates","White Sea Plankton","A",5,1998,2003,107,7569,127,12471,"Count",NA
73,"Marine","Polar","Marine invertebrates","Copepoda collected from Fletcher's Ice Island (T-3) in the Canadian Basin of the Arctic Ocean","A",4,1966,1969,43,6722,132,16063,"Count",NA
74,"Marine","Polar","Marine invertebrates","Copepoda collected from the Canada Basin Arctic Ocean Fletcher's Ice Island (T-3) 1970-1972 and AIDJEX. 1975. Phytoplankton Primary Production Below Arctic Ocean Pack Ice An Ecosystems Analysis","A",4,1970,1975,37,3141,77,6672,"Count",NA
75,"Marine","Polar","Marine invertebrates","Zooplankton Data from the Canadian Beaufort Sea Shelf. 1984 and 1985 NOGAP B2. Zooplankton Data from the Canadian Beaufort Sea Shelf. 1986. Central and Arctic Region","AB",3,1985,1987,304,321,112,12643,"Density","Weight"
76,"Marine","Temperate","Benthos","A comparison of benthic biodiversity in the North Sea. English Channel and Celtic Seas","A",5,1992,1996,212,59,58,1347,"Count",NA
77,"Marine","Temperate","Birds","MEDITS Seabird surveys 1999 - 2000 - 2002","A",3,1999,2002,16,703,703,1072,"Count",NA
78,"Marine","Temperate","Benthos","IOW Macrozoobenthos monitoring Baltic Sea (1980-2005) (EurOBIS)","A",25,1980,2005,212,19,19,3587,"Count",NA
81,"Marine","Temperate","Mammals","CRRU Cetacean sighting in Scotland waters 1997-2010","A",14,1997,2010,9,1600,1600,1613,"Count",NA
84,"Marine","Temperate","Marine plants","Macroalgae of the Crimean coastal zone (Black Sea. 1967-2007)","A",11,1967,2007,104,117,112,5070,"Presence/Absence",NA
85,"Marine","Temperate","Marine invertebrates","North Sea observations of Crustacea. Polychaeta. Echinodermata. Mollusca and some other groups between 1986 and 2003","A",12,1992,2003,354,791,297,9984,"Density",NA
86,"Marine","Temperate","Marine plants","Phytoplankton of the Ukrainian Black Sea shelf (1985-2005)","AB",9,1985,1998,368,1432,299,9998,"Count","Weight"
87,"Marine","Temperate","Marine plants","Phytoplankton in the Oosterschelde before. during and after the storm-surge barrier (1982-1990)","A",9,1982,1990,109,2,2,6155,"Count",NA
90,"Marine","Temperate","Marine invertebrates","Zooplankton in the Bay of Biscay (1995-2004. yearly DEPM surveys)","A",6,1995,2004,66,512,499,9059,"Presence/Absence",NA
91,"Marine","Temperate","Birds","Baltic seabirds transect surveys","A",8,1992,1999,68,2329,2329,6318,"Count",NA
92,"Marine","Polar/Temperate","Benthos","Benthos of the White Sea - A database","A",23,1981,2010,526,365,290,7452,"Presence/Absence",NA
96,"Marine","Polar","Marine invertebrates","Structure and function of contemporary food webs on Arctic shelves A panarctic comparison. The pelagic system of the Kara Sea- communities and components of carbon flow (ArcOD/AOOS)","A",4,1997,2001,100,104,100,2633,"Count",NA
97,"Marine","Polar/Temperate","Marine invertebrates","Archives of the Arctic Seas Zooplankton (ARC)","A",22,1921,1973,402,835,802,15016,"Count",NA
98,"Marine","Polar","Benthos","Zoobenthos data from the Southern Beaufort Sea. 1971-1975 (ArcOD/AOOS)","A",4,1971,1975,336,97,93,2133,"Count",NA
99,"Marine","Temperate/Tropical","Fish","CSIRO Marine Data Warehouse (OBIS Australia)","B",15,1978,1997,761,2566,2443,40884,NA,"Weight"
108,"Marine","Global","Birds","Seabirds of the Southern and South Indian Ocean (Australian Antarctic Data Centre)","A",29,1977,2006,123,59928,57723,116226,"Count",NA
110,"Marine","Temperate","Benthos","Marine Nature Conservation Review (MNCR) and associated benthic marine data held and managed by JNCC (EurOBIS)","A",38,1954,2000,4120,9922,987,398501,"Presence/Absence",NA
112,"Marine","Temperate/Tropical","Fish","NOAA Southeast Fishery Science Center (SEFSC) Commercial Pelagic Observer Program (POP) Data (SEFSC_POP)","A",22,1973,2005,540,136554,93906,466437,"Count",NA
113,"Marine","Global","Marine invertebrates","Southampton Oceanography Center Discovery Collections Midwater Database (collections from Discovery sailings - 1979 only year with furthest afield data)","A",25,1965,1999,2055,2324,2207,89972,"Presence/Absence",NA
117,"Marine","Temperate","Marine invertebrates","South Western Pacific Regional OBIS Data Asteroid Subset (South Western Pacific OBIS)","A",44,1956,2003,156,1394,1394,2253,"Count",NA
119,"Marine","Temperate","Fish","DFO Maritimes Research Vessel Trawl Surveys Fish Observations (OBIS Canada)","AB",41,1970,2010,231,13945,13507,121804,"Count","Weight"
120,"Marine","Temperate/Tropical","Marine plants","CRED REA Algal Quadrate Images in the Pacific Ocean 2002-2008 (OBIS-USA)","A",7,2002,2008,260,466,466,10198,"Presence/Absence",NA
121,"Marine","Temperate/Tropical","Fish","CRED Rapid Ecological Assessments of Fish Belt Transect Surveys and Fish Stationary Point Count Surveys in the Pacific Ocean 2000-2010 (OBIS-USA)","A",11,2000,2010,148,11408,52,21577,"Count",NA
122,"Marine","Temperate/Tropical","Marine invertebrates","CRED Rapid Ecological Assessments of Coral Population in the Pacific Ocean 2007-2010 (OBIS-USA)","A",4,2007,2010,209,1864,546,18535,"Presence/Absence",NA
123,"Marine","Temperate","Fish","Maine Department of Marine Resources Inshore Trawl Survey 2000?2009 (OBIS-USA)","AB",10,2000,2009,144,1750,1749,36935,"Count","Weight"
124,"Marine","Temperate","Marine invertebrates","A Biological Survey of the Waters of Woods Hole and Vicinity","A",7,1903,1909,606,768,323,41346,"Presence/Absence",NA
125,"Marine","Temperate","Fish","MARMAP Chevron Trap Survey 1990-2009 (OBIS-USA)","AB",12,1988,2000,101,1205,422,15092,"Count","Weight"
126,"Marine","Temperate","Fish","MARMAP Neuston Nets 1990-2009 (OBIS-USA)","A",8,1973,1980,438,467,467,7614,"Count",NA
127,"Marine","Temperate","Fish","MARMAP Florida Antillean Trap Survey 1990-2009 (OBIS-USA)","AB",10,1980,1989,48,352,173,4546,"Count","Weight"
128,"Marine","Temperate","Marine invertebrates","Zooplankton Sampled with 10m2MOCNESS Net in Georges Bank 1995-1999 (OBIS-USA)","A",5,1995,1999,341,783,39,15246,"Presence/Absence",NA
129,"Marine","Temperate","Marine invertebrates","South TX Outer Continental Shelf and MI. AL. and FL Outer Continental Shelf benthic organism sampling 1974-1978 (OBIS-USA)","A",5,1974,1978,2561,431,431,58162,"Count",NA
133,"Marine","Temperate/Tropical","Marine invertebrates","Copepods (Tropical and Subtropical Western South Atlantic OBIS)","A",8,1954,1961,119,106,95,2300,"Count",NA
135,"Marine","Temperate/Tropical","Fish","Previous_fisheries_REVIZEE_Program (Tropical and Subtropical Western South Atlantic OBIS)","B",11,1972,1986,151,2013,1796,8468,NA,"Weight"
142,"Marine","Temperate/Tropical","Fish","Pelagic and Demersal Fish Database II. REVIZEE South Area (WSAOBIS)","A",3,1997,2002,189,276,276,4125,"Count",NA
143,"Marine","Temperate/Tropical","Marine invertebrates","COPEPODA-ESPOBIS Data Base IMO-UdeC","A",8,2002,2009,106,60,10,1313,"Count",NA
147,"Marine","Temperate","Marine invertebrates","South Western Pacific Regional OBIS Data Bryozoan Subset (South Western Pacific OBIS)","A",51,1874,2003,599,555,555,6329,"Presence/Absence",NA
148,"Marine","Temperate/Tropical","Fish","South Western Pacific Regional OBIS Data provider for the NIWA Marine Biodata Information System (South Western Pacific OBIS)","B",38,1964,2005,430,28775,28332,351472,NA,"Weight"
150,"Marine","Temperate","Marine invertebrates","Admiralty Bay Benthos Diversity Data Base (ABBED).","A",5,1979,1986,44,130,116,428,"Presence/Absence",NA
152,"Marine","Temperate","Marine invertebrates","CMarZ (Census of Marine Zooplankton)-Asia Database","A",15,1977,2002,163,309,138,2493,"Count",NA
162,"Marine","Temperate/Tropical","Benthos","EPA'S EMAP Database","A",13,1990,2004,5624,6588,6073,173040,"Presence/Absence",NA
163,"Marine","Temperate","Benthos","North Pacific Groundfish Observer (North Pacific Research Board)","AB",12,1993,2004,355,1827,1827,419940,"Count","Weight"
164,"Marine","Temperate","Marine invertebrates","North American Sessile Marine Invertebrate SurveyCitation","A",6,2000,2005,94,230,224,1401,"Presence/Absence",NA
166,"Marine","Global","All","PIROP Northwest Atlantic 1965-1992 (SEAMAP)","A",25,1965,1992,213,144510,51670,155600,"Count",NA
169,"Marine","Temperate","All","CalCOFI and NMFS Seabird and Marine Mammal Observation Data. 1987-2006 (SEAMAP)","A",20,1987,2006,185,56832,56813,61714,"Count",NA
171,"Marine","Temperate/Tropical","Mammals","Bahamas Marine Mammal Research Organisation Opportunistic Sightings (SEAMAP)","A",19,1988,2008,28,2362,2362,4774,"Count",NA
172,"Marine","Temperate","All","POPA cetacean. seabird. and sea turtle sightings in the Azores area 1998-2009 (OBIS SEAMAP)","A",12,1998,2009,47,34883,34883,52291,"Count",NA
173,"Marine","Temperate/Tropical","Marine invertebrates","Marine Biological Sample Database. JAMSTEC (OBIS_JAPAN)","A",16,1996,2012,678,1038,721,4523,"Presence/Absence",NA
176,"Marine","Temperate","Marine invertebrates","Atlantic Zone Monitoring Program Maritimes Region (AZMP) plankton datasets. In Fisheries and Oceans Canada - BioChem archive (OBIS Canada)","AB",13,1998,2010,320,1763,1232,56938,"Count","Weight"
178,"Marine","Temperate","Fish","Pacific Shrimp Trawl Survey (OBIS Canada)","A",39,1963,2007,476,8065,8032,128311,"Presence/Absence",NA
180,"Marine","Polar/Temperate","Fish","ECNASAP - East Coast North America Strategic Assessment (OBIS Canada)","A",26,1970,1995,273,46466,43126,410802,"Count",NA
182,"Marine","Temperate","All","Snow crab research trawl survey database (Southern Gulf of St. Lawrence. Gulf region. Canada) from 1988 to 2010 (OBIS Canada)","A",22,1988,2009,33,5777,5765,35005,"Count",NA
183,"Marine","Temperate","Marine invertebrates","DFO Maritimes Research Vessel Trawl Surveys Invertebrate Observations (OBIS Canada)","A",13,1999,2011,16,4475,4475,14906,"Count",NA
184,"Marine","Polar/Temperate","Marine invertebrates","DFO Central and Arctic Multi-species Stock Assessment Surveys (OBIS_CANADA)","A",5,2006,2010,306,685,685,16976,"Presence/Absence",NA
186,"Marine","Temperate/Tropical","Benthos","Great Barrier Reef Seabed Biodiversity Study 2003-2006 (CMAR_ANACC)","A",4,2003,2006,4080,1251,1251,93707,"Presence/Absence",NA
187,"Marine","Temperate/Tropical","Benthos","National Benthic Infaunal Database (NOAA NBI)","A",14,1991,2006,4415,2180,2156,111354,"Presence/Absence",NA
189,"Marine","Tropical","Fish","St. John. USVI Fish Assessment and Monitoring Data (2002 - Present) (NOAA-CCMA)","A",10,2001,2010,254,1510,1510,28123,"Count",NA
190,"Marine","Tropical","Fish","St. Croix. USVI Fish Assessment and Monitoring Data (2002 - Present) (NOAA-CCMA)","A",10,2001,2010,247,2000,2000,28017,"Count",NA
191,"Marine","Temperate","Marine invertebrates","NEFSC Benthic Database (OBIS-USA)","A",28,1900,1975,1614,4790,4386,51456,"Count",NA
192,"Marine","Polar/Temperate","Mammals","Whale Catches in Southern Ocean (OBIS - Australian Antarctic Data Centre)","A",42,1932,1980,6,455,455,7122,"Count",NA
194,"Terrestrial","Temperate","Terrestrial invertebrates","Spatial and temporal distribution and abundance of moths in the Andrews Experimental Forest. 1994 to 2004","A",6,1994,2004,578,254,1,17647,"Count",NA
195,"Terrestrial","Temperate","Birds","Breeding birds survey North America","A",30,1978,2007,385,440,440,699449,"Count",NA
196,"Marine","Temperate","Benthos","SOTEAG Rocky Shore Survey (Sullom Voe)","A",35,1976,2012,252,910,47,91491,"Count",NA
199,"Marine","Temperate/Tropical","Fish","Taiwan bottom trawl survey","A",4,2000,2003,631,48,48,3513,"Count",NA
200,"Marine","Temperate","Marine invertebrates","NEFSC Benthic Database (OBIS-USA)","A",30,1956,1989,2105,2945,2427,102143,"Count",NA
201,"Terrestrial","Tropical","Terrestrial plants","Pasoh Forest Dynamics Plot. Malaysia - Smithsonian Tropical Research Institute","A",4,1987,2000,840,1,1,3292,"Count",NA
202,"Terrestrial","Tropical","Terrestrial plants","Mudumalai Forest Dynamics Plot. India - Smithsonian Tropical Research Institute","A",3,1988,2000,75,1,1,225,"Count",NA
204,"Marine","Temperate","Benthos","MACROBEL Long term trends in the macrobenthos of the Belgian Continental Shelf","A",19,1976,2001,344,1049,768,15901,"Count",NA
211,"Marine","Temperate","Fish","MARMAP Fly Net 1990-2009","AB",8,1980,1987,127,140,60,1653,"Count","Weight"
212,"Marine","Temperate","Fish","MARMAP Yankee Trawl 1990-2009","AB",8,1973,1980,522,1170,1051,15532,"Count","Weight"
213,"Marine","Temperate","Benthos","Northeast Fisheries Science Center Bottom Trawl Survey Data (OBIS-USA)","AB",48,1948,2008,1023,35644,30824,439452,"Count","Weight"
214,"Terrestrial","Temperate","Terrestrial plants","Long-term growth mortality and regeneration of trees in permanent vegetation plots in the Pacific Northwest 1910 to present","A",88,1910,2010,39,14565,151,37350,"Count",NA
217,"Terrestrial","Temperate","Birds","Landbird Monitoring Program (UMT-LBMP)","A",14,1992,2006,268,43839,13800,336516,"Count",NA
221,"Terrestrial","Temperate","Terrestrial plants","Vegetation Plots of the Bonanza Creek LTER Control Plots Species Count (1975 - 2004)","A",26,1975,2008,52,195,32,1157,"Count",NA
224,"Terrestrial","Temperate","Terrestrial plants","Experiment 133 - Effect of Burning Patterns on Vegetation in the Fish Lake Burn Compartments - Shrub Survey","A",3,1995,2005,50,1582,1,5973,"Count",NA
225,"Terrestrial","Temperate","Birds","Point count bird censusing long-term monitoring of bird distrubution and diversity in central Arizona-Phoenix period 2000 to 2011","A",12,2000,2011,278,4865,1,48841,"Count",NA
226,"Terrestrial","Temperate","Birds","Transect bird survey with data synthesis from multiple transects in the central Arizona-Phoenix area period 1998 to 2000","A",3,1998,2000,220,3256,1,45361,"Count",NA
227,"Marine","Temperate","Fish","Coastal ecological data from the Virginian Biogeographic Province 1990 to 1993","A",4,1990,1993,107,371,371,1868,"Count",NA
228,"Marine","Temperate","Benthos","Coastal ecological data from the Virginian Biogeographic Province 1990 to 1993","A",4,1990,1993,762,407,400,13184,"Count",NA
229,"Freshwater","Temperate","Fish","Upper Little Tennessee River Biomonitoring Program Database - LTWA Biomonitoring Database","A",26,1988,2013,69,754,228,11184,"Count",NA
230,"Marine","Temperate","Marine plants","Macrophyte count data collected from Northeast Shark Slough Everglades National Park (FCE) from September 2006 to Present","A",3,2006,2008,59,122,30,1561,"Count",NA
231,"Marine","Temperate","All","Consumer Stocks Fish Vegetation and other Non-physical Data from Everglades National Park (FCE) South Florida from February 2000 to April 2005","A",6,2000,2005,138,1806,31,12806,"Count",NA
232,"Marine","Polar/Temperate","Fish","Pelagic Fish Observations 1968-1999","AB",25,1968,1999,185,3143,1168,6446,"Count","Weight"
233,"Terrestrial","Temperate","Terrestrial plants","HF044. Land Use on the Southern New England and New York Coasts 1600-2001","A",3,1999,2001,47,577,1,1870,"Count",NA
234,"Terrestrial","Temperate","Terrestrial plants","Forest Inventory of a Northern Hardwood Forest Watershed 6","AB",5,1982,2002,15,1040,1,4815,"Count","Weight"
235,"Terrestrial","Temperate","Terrestrial plants","Forest Inventory of a Northern Hardwood Forest Watershed 5?","AB",4,1982,1999,18,681,1,2823,"Count","Weight"
236,"Freshwater","Temperate","Fish","Fish population on selected watersheds at Konza Prairie - CFP012 - Konza fish population","A",12,1995,2006,19,129,1,1169,"Count",NA
237,"Freshwater","Temperate","Freshwater invertebrates","Madison Wisconsin Lakes Zooplankton 1976 - 1994 - old net","A",19,1976,1994,89,811,4,10610,"Count",NA
238,"Freshwater","Temperate","Freshwater invertebrates","North Temperate Lakes LTER Zooplankton - Madison Lakes Area 1997 - current","A",20,1995,2014,32,731,3,7331,"Count",NA
239,"Terrestrial","Temperate","Terrestrial plants","Pinon Juniper Net Primary Production Quadrat Data from the Sevilleta National Wildlife Refuge New Mexico 1999-2001","AB",3,1999,2001,123,1377,1,5288,"Count","Cover"
240,"Terrestrial","Temperate","Terrestrial plants","Pinon-Juniper (Core Site) Quadrat Data for the Net Primary Production Study at the Sevilleta National Wildlife Refuge New Mexico (2003-present )","AB",13,2003,2015,167,2882,1,15561,"Count","Cover"
241,"Terrestrial","Tropical","Terrestrial plants","Sherman Forest Dynamics Plot Panama","A",4,1996,2009,272,4,1,947,"Count",NA
242,"Terrestrial","Temperate","Terrestrial plants","Lac Croche understory vegetation data set (1998 to 2006)","A",7,1998,2006,12,298,43,1030,"Count",NA
243,"Terrestrial","Temperate","Terrestrial plants","Long-term N-fertilized vegetation plots on Hog Island Virginia Coastal Barrier Islands 1992 to 2014","AB",22,1992,2014,51,2640,4,8508,"Count","Cover"
245,"Marine","Temperate","Fish","Migratory Fishes in the river Scheldt Trekvis","A",4,2007,2010,49,415,42,2253,"Count",NA
246,"Marine","Temperate","Fish","Long-term monitoring dataset of fish assemblages impinged at nuclear power plants in northern Taiwan","A",15,2000,2014,335,339,2,3722,"Count",NA
247,"Freshwater","Temperate","Freshwater invertebrates","Zooplankton survey of Oneida Lake New York 1964 to present","AB",32,1975,2006,31,4047,6,30307,"Density","Weight"
248,"Terrestrial","Temperate","Terrestrial plants","Evidence for long-term shift in plant community composition under decadal experimental warming","A",13,2000,2012,95,78,1,1032,"Count",NA
249,"Terrestrial","Temperate","Terrestrial invertebrates","Resource specialists lead local insect community turnover associated with temperature - analysis of an 18-year full-seasonal record of moths and beetles","A",24,1992,2009,1534,577,1,44069,"Count",NA
252,"Marine","Temperate","Fish","MARMAP Blackfish Trap Survey 1990-2009","AB",13,1977,1989,48,1422,218,4692,"Count","Weight"
253,"Freshwater","Temperate","Freshwater invertebrates","North Temperate Lakes LTER Zooplankton - Trout Lake Area 1982 - current","A",29,1986,2014,133,1748,7,30750,"Count",NA
254,"Freshwater","Temperate","Freshwater plants","North Temperate Lakes LTER Phytoplankton - Madison Lakes Area 1995 - current","AB",20,1995,2014,374,585,2,12652,"Count","Weight"
255,"Terrestrial","Temperate","Terrestrial plants","Multi-decade. spatially explicit population studies of canopy dynamics in Michigan old-growth forests","A",10,1989,2007,22,508,1,2915,"Count",NA
257,"Freshwater","Temperate","Freshwater invertebrates","Madison Wisconsin Lakes Zooplankton 1976 - 1994 - new net","A",4,1991,1994,19,122,2,1373,"Count",NA
270,"Terrestrial","Temperate","Terrestrial plants","Experimental evidence of reduced diversity of seedlings due to climate modification in a Mediterranean-type community.","A",4,1999,2002,19,1,1,76,"Density",NA
271,"Marine","Temperate","Fish","Santa Barbara Coastal LTER","A",15,2000,2014,62,42,42,6287,"Count",NA
272,"Marine","Temperate","Marine invertebrates","Santa Barbara Coastal LTER","A",15,2000,2014,36,50,11,5363,"Count",NA
273,"Marine","Temperate","Marine invertebrates","Santa Barbara Coastal LTER","A",15,2000,2014,27,51,11,15498,"Count",NA
274,"Marine","Temperate","All","Santa Barbara Coastal LTER","B",15,2000,2014,132,553,41,8769,NA,"Cover"
275,"Terrestrial","Temperate","Reptiles","Response of an urban remnant reptile community to summer wildfire","AB",6,2009,2014,19,10,10,1549,"Count","Size"
276,"Freshwater","Temperate","Freshwater invertebrates","Eutrophication and Dreissena Invasion as Drivers of Biodiversity A Century of Change in the Mollusc Community of Oneida Lake","A",3,1917,2012,32,1,1,96,"Density",NA
278,"Marine","Temperate/Tropical","Fish","South Western Pacific Regional OBIS Data provider for the NIWA Marine Biodata Information System (South Western Pacific OBIS)","A",40,1961,2005,278,5177,4894,25534,"Presence/Absence",NA
280,"Marine","Polar","Benthos","Zoobenthos data from the Southern Beaufort Sea. 1971-1975 (ArcOD/AOOS)","A",4,1971,1975,9,47,44,60,"Presence/Absence",NA
281,"Marine","Temperate","Marine invertebrates","South TX Outer Continental Shelf and MI. AL. and FL Outer Continental Shelf benthic organism sampling 1974-1978 (OBIS-USA)","A",5,1974,1978,6,335,335,1267,"Presence/Absence",NA
282,"Marine","Polar","Marine invertebrates","Zooplankton Data from the Canadian Beaufort Sea Shelf. 1984 and 1985 NOGAP B2. Zooplankton Data from the Canadian Beaufort Sea Shelf. 1986. Central and Arctic Region","A",4,1984,1987,211,183,103,8661,"Density",NA
283,"Marine","Polar","Marine invertebrates","Zooplankton Data from the Canadian Beaufort Sea Shelf. 1984 and 1985 NOGAP B2. Zooplankton Data from the Canadian Beaufort Sea Shelf. 1986. Central and Arctic Region","B",2,1985,1986,177,164,61,1720,NA,"Weight"
284,"Marine","Temperate/Tropical","Fish","Previous_fisheries_REVIZEE_Program (Tropical and Subtropical Western South Atlantic OBIS)","AB",10,1972,1986,136,1282,1174,5906,"Count","Weight"
285,"Marine","Temperate/Tropical","Fish","Previous_fisheries_REVIZEE_Program (Tropical and Subtropical Western South Atlantic OBIS)","A",13,1972,1989,206,506,490,1693,"Count",NA
286,"Marine","Temperate","Fish","Maine Department of Marine Resources Inshore Trawl Survey 2000?2009 (OBIS-USA)","B",10,2000,2009,29,678,678,883,NA,"Weight"
287,"Marine","Temperate","Fish","Maine Department of Marine Resources Inshore Trawl Survey 2000?2009 (OBIS-USA)","A",9,2001,2009,82,493,493,828,"Count",NA
288,"Marine","Temperate","Fish","DFO Maritimes Research Vessel Trawl Surveys Fish Observations (OBIS Canada)","A",34,1970,2006,195,6774,6474,19074,"Count",NA
289,"Marine","Temperate","Fish","DFO Maritimes Research Vessel Trawl Surveys Fish Observations (OBIS Canada)","B",14,1995,2010,68,189,189,452,NA,"Weight"
290,"Marine","Temperate/Tropical","Fish","CSIRO Marine Data Warehouse (OBIS Australia)","AB",12,1978,1995,915,2109,1728,25494,"Count","Weight"
291,"Marine","Temperate/Tropical","Fish","CSIRO Marine Data Warehouse (OBIS Australia)","A",12,1978,1990,734,1497,1427,22998,"Presence/Absence",NA
292,"Marine","Temperate/Tropical","Fish","CSIRO Marine Data Warehouse (OBIS Australia)","A",11,1978,1995,837,2118,1728,16966,"Count",NA
294,"Terrestrial","Tropical","Terrestrial invertebrates","Tam Dao Butterfly communities","A",8,2003,2013,277,45,1,8356,"Count",NA
295,"Marine","Temperate","Fish","Systematic global assessment of reef fish communities by the Reef Life Survey program","AB",9,2008,2016,450,1078,127,25469,"Count","Weight"
296,"Marine","Temperate","Marine invertebrates","Systematic global assessment of reef fish communities by the Reef Life Survey program","A",9,2008,2016,412,1077,127,10092,"Count",NA
297,"Marine","Tropical","Marine invertebrates","MCR LTERCoral Reef Long-term Population and Community Dynamics Other Benthic Invertebrates. ongoing since 2005","A",11,2005,2015,13,1825,6,2734,"Count",NA
298,"Terrestrial","Temperate","Terrestrial plants","Long-term mapped quadrats from Kansas prairie demographic information for herbaceaous plants","B",56,1903,1972,146,147201,1,147201,NA,"Cover"
299,"Terrestrial","Temperate","Terrestrial invertebrates","Elba Island Butterflies","A",6,1898,1998,54,6,1,224,"Presence/Absence",NA
300,"Terrestrial","Temperate","Terrestrial invertebrates","Insect Populations via Sticky Traps at KBS-LTER (Kellogg Biological Station. MI)","A",25,1989,2013,21,5888,255,47798,"Count",NA
301,"Terrestrial","Temperate","Terrestrial invertebrates","Konza grasshoppers CGR022","A",31,1984,2018,33,128,1,903,"Count",NA
302,"Terrestrial","Tropical","Terrestrial plants","Patterns and processes affecting the dynamics and structure of seasonally semideciduous forests in SE Brazil(Padroes e processos que influenciam a dinamica e a estrutura das Florestas Estacionais Semideciduais SE Brasil)","A",3,2002,2011,151,768,1,12412,"Count",NA
303,"Terrestrial","Temperate/Tropical","Terrestrial plants","The influence of environmental variables on tree species component dynamics in a montane forest fragment in Lages SC Brazil Influencia de variaveis ambientais na dinamica do componente arboreo em um fragmento de Floresta Ombrofila Mista em Lages SC","A",3,2008,2016,92,150,50,2529,"Count",NA
304,"Terrestrial","Temperate","Terrestrial plants","Cape of Good Hope Permanent Plots","A",2,1966,1996,418,126,63,4834,"Count",NA
305,"Terrestrial","Temperate","Amphibians","Population estimates of Appalachian salamanders. Coweeta LTER","A",15,1976,1990,4,15,1,60,"Count",NA
