"Time","Aurelia.sp","Engraulis.japonicus","Plotosus.lineatus","Sebastes.inermis","Trachurus.japonicus","Girella.punctata","Pseudolabrus.sieboldi","Halichoeres.poecilopterus","Halichoeres.tenuispinnis","Chaenogobius.gulosus","Pterogobius.zonoleucus","Tridentiger.trigonocephalus","Siganus.fuscescens","Sphyraena.pinguis","Rudarius.ercodes"
2071,0.066666667,0,1,10,0,1,0,0,0,0,0,43,0,0,2
2090,0,0,0,0,0,0,0,0,0,0,0,24,0,0,3
2101,0.2,0,0,1,0,3,1,0,0,0,0,39,0,0,7
2112,0.0625,0,0,11,0,0,2,0,0,0,0,17,0,0,1
2134,0,0,0,6,0,2,0,0,0,0,0,26,0,0,2
2147,0.133333333,0,0,69,0,0,0,0,0,0,0,24,0,0,0
2163,4.266666667,0,0,38,0,10,10,13,18,0,0,12,0,0,8
2177,2.375,400,0,100,200,0,7,5,26,0,0,12,0,0,6
2193,0.466666667,0,0,250,7,3,4,14,47,0,0,1,0,0,7
2204,0.2,0,0,95,100,2,5,17,48,0,0,4,0,0,4
2219,0.2,20,0,133,1000,4,5,45,28,0,0,0,0,0,4
2241,0.3125,30,0,143,305,145,6,34,41,0,70,50,0,0,1
2253,1.866666667,0,100,169,1000,109,1,19,111,0,50,24,0,420,8
2278,25.25,0,0,43,500,5,10,19,50,0,15,23,0,0,12
2290,12.46666667,0,0,71,600,113,11,12,59,0,26,15,6,0,19
2302,15.86666667,0,0,44,400,4,8,27,45,0,0,3,3,0,4
2314,85,0,0,42,602,30,12,25,73,0,25,8,0,0,32
2324,172,0,0,74,0,8,3,27,67,0,0,55,8,0,37
2344,33.66666667,0,0,25,0,15,5,14,10,0,5,41,0,0,0
2365,223.8,0,0,45,402,20,2,5,0,0,0,73,0,0,9
2371,7.4,0,0,60,200,1,2,2,2,0,0,74,0,0,4
2389,37.1875,4500,0,38,0,3,2,4,0,0,9,67,0,0,3
2408,0.266666667,3,0,3,0,0,3,0,0,0,4,64,0,0,1
2420,2.125,0,0,6,0,0,1,0,1,0,1,46,0,0,0
2442,1,0,0,6,0,0,3,0,0,0,0,50,0,0,3
2459,0.076923077,80,0,2,0,0,1,0,0,0,0,30,0,0,1
2471,4.2,210,0,1,0,0,0,0,0,0,0,6,0,0,0
2480,40.75,0,0,2,0,0,0,0,0,0,0,31,0,0,1
2493,2.066666667,0,0,1,0,0,0,0,0,0,0,17,0,0,0
2519,2,0,0,110,0,0,5,2,2,0,0,56,0,0,3
2531,4,0,0,28,500,0,2,12,31,0,1,15,0,0,2
2540,28.75,100,0,30,6,0,1,25,62,0,0,10,0,0,2
2563,37.13333333,300,0,35,250,1,7,13,14,0,0,5,0,0,0
2576,49.26666667,0,0,89,100,0,9,9,62,0,0,1,0,0,1
2584,14.4,1500,0,43,230,221,7,20,11,0,20,6,0,0,3
2610,70.375,0,0,47,231,24,3,27,36,0,20,4,0,0,1
2628,10.33333333,0,0,130,135,29,12,24,19,0,15,7,0,0,9
2641,4.625,0,150,97,230,17,7,14,27,0,0,40,0,0,10
2646,101.8,0,3,32,30,30,2,5,23,5,0,67,0,0,11
2667,31.33333333,0,0,52,200,127,7,23,37,0,4,15,0,0,10
2678,3.666666667,0,0,15,820,7,8,27,27,0,64,6,0,0,36
2694,212.5,0,0,21,200,0,9,33,77,0,20,8,0,0,12
2709,29,0,0,29,300,13,7,38,88,0,6,6,0,0,36
2731,0.533333333,0,0,11,21,39,4,24,76,0,26,3,0,0,54
2736,226.6666667,1800,0,23,300,9,0,21,75,0,1,1,0,0,65
2763,0,0,0,19,0,0,2,0,0,0,0,4,0,0,15
2777,0,50,0,7,0,0,1,0,0,0,0,15,0,0,1
2790,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
2798,0,0,0,1,0,0,1,0,0,0,0,17,0,0,3
2813,0,100,0,1,0,0,1,0,0,0,0,7,0,0,1
2827,0,0,0,2,0,0,0,0,0,0,0,13,0,0,6
2854,0,0,0,12,0,0,0,0,0,0,0,16,0,0,2
2861,0.4,0,0,77,200,0,0,0,0,0,0,25,0,0,3
2881,0,0,0,344,0,0,15,0,0,0,0,53,0,0,3
2894,0.133333333,0,0,97,0,0,13,2,12,0,1,42,0,0,19
2913,0,0,0,39,0,0,10,17,44,0,0,10,0,0,7
2925,0.466666667,0,0,42,0,8,9,39,52,0,0,8,0,0,17
2940,0,0,0,98,0,15,10,37,53,0,0,1,0,0,5
2954,0,0,2,74,70,0,19,99,108,0,0,3,0,0,3
2967,0.9375,0,0,148,30,50,19,45,155,0,0,20,0,0,5
2987,1,0,700,62,503,96,21,43,205,0,20,15,0,0,7
2996,4.9375,0,0,44,500,84,39,36,178,0,1,8,0,0,3
3015,5.6,0,150,37,250,15,17,22,201,0,30,6,202,0,176
3025,42.4,0,0,7,200,2,17,15,104,0,0,2,235,0,7
3045,2.133333333,0,0,5,500,20,10,27,71,0,0,0,30,0,12
3058,26.4375,0,50,19,503,27,8,18,132,0,0,1,4,0,18
3073,50.4,0,0,8,100,16,5,3,52,0,1,6,1,0,11
3095,3.666666667,0,0,6,0,0,5,7,11,0,0,31,0,0,11
3104,0,0,0,11,0,0,4,12,0,0,11,33,0,0,5
3126,0.0625,0,0,6,0,0,3,0,0,0,3,21,0,0,2
3134,0.066666667,0,0,3,0,0,5,0,0,0,0,28,0,0,4
3148,0.0625,0,0,4,0,2,2,0,0,0,1,30,0,0,6
3165,0.266666667,0,0,3,0,2,3,0,0,0,0,72,0,0,1
3176,0.153846154,0,0,1,0,1,1,0,0,0,0,28,0,0,1
3190,0.4,0,0,0,0,0,0,0,0,0,0,22,0,0,1
3212,0.1875,0,0,1,0,0,0,0,0,0,0,4,0,0,0
3225,0.533333333,0,0,0,0,0,0,0,0,0,0,24,0,0,1
3248,0.333333333,0,0,4,0,0,3,0,0,0,0,37,0,0,0
3252,2.4,0,0,5,0,2,2,0,0,0,1,59,0,0,2
3281,3.875,0,0,9,0,3,1,6,2,0,0,4,0,0,1
3288,0.933333333,0,0,63,0,1,3,6,31,0,0,26,0,0,8
3302,0.133333333,0,0,70,200,4,10,13,89,0,0,7,0,0,2
3312,8.133333333,0,0,78,300,14,5,12,69,0,0,6,0,0,0
3333,2.3125,0,0,37,253,2,6,16,88,0,0,58,0,0,2
3346,7.066666667,0,0,14,12,0,12,14,59,0,0,78,0,0,5
3366,2.8125,0,0,12,1000,10,16,17,73,100,0,233,0,213,9
3379,42.8,0,150,18,800,0,10,16,32,0,0,24,0,20,5
3389,15.73333333,0,0,67,400,0,14,18,42,0,0,39,0,0,5
3414,13.86666667,0,0,12,0,0,5,13,20,0,0,26,0,0,3
3420,25.9375,200,0,11,50,0,7,5,41,0,0,5,0,0,4
3436,1.6,0,0,22,0,0,7,8,23,0,0,24,0,0,6
3458,1.466666667,0,0,6,0,0,2,9,5,0,0,8,0,0,2
3477,3.8,0,0,28,0,0,7,3,1,0,0,21,0,0,9
3492,0.1875,0,0,7,0,0,3,0,0,0,0,38,1,0,2
3505,0.066666667,0,0,4,0,0,2,0,0,0,0,16,0,0,1
3511,1.25,0,0,0,0,0,5,0,0,0,0,20,0,0,0
3536,1.933333333,0,0,0,0,0,0,0,0,0,0,7,0,0,0
3546,0.071428571,0,0,1,0,0,2,0,0,0,0,29,0,0,1
3561,0.266666667,0,0,0,0,0,0,0,0,0,0,52,0,0,0
3574,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
3592,1.466666667,0,0,7,0,0,1,0,0,0,0,23,0,0,0
3611,0.333333333,0,0,3,0,0,7,0,0,0,0,31,0,0,0
3630,0.066666667,0,0,12,0,0,6,6,34,0,0,39,0,0,3
3638,22.5625,0,0,9,0,0,7,13,22,0,0,17,0,0,3
3654,21.2,0,0,52,0,0,2,19,114,100,0,8,0,0,9
3665,1,0,0,10,320,0,6,11,74,0,0,3,0,0,3
3687,0.133333333,0,0,14,103,10,10,12,79,0,54,23,0,0,3
3702,2.0625,0,0,61,701,132,7,20,75,30,40,5,0,0,7
3717,5.066666667,0,0,6,570,77,14,16,115,0,40,14,0,0,25
3731,9.1875,0,100,14,250,58,12,19,67,0,50,1,0,0,11
3743,15,0,400,9,502,121,10,4,61,0,80,3,50,0,12
3759,1371,0,0,22,500,80,12,18,150,0,100,8,20,2,8
3774,33.8,0,0,3,500,5,4,4,11,0,80,1,0,0,2
3794,2,0,0,12,319,61,11,23,9,0,60,3,0,0,14
3808,33,0,0,17,350,150,6,23,8,0,50,23,10,0,2
3816,14,0,10,12,241,5,5,30,1,0,75,65,0,0,8
3833,35.66666667,0,0,20,200,28,4,11,1,0,28,79,0,0,11
3847,1.625,0,0,16,100,1,2,1,0,0,13,38,0,0,2
3869,7.533333333,0,0,10,110,20,4,1,0,1,15,70,0,0,7
3890,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0
3896,11.46666667,0,0,4,0,20,0,0,0,0,0,72,0,0,0
3918,0.923076923,0,0,0,0,0,0,0,0,0,0,33,0,0,0
3926,1,0,0,1,0,0,0,0,0,0,0,24,0,0,0
3941,13.875,0,0,9,0,0,0,0,0,0,1,13,0,0,0
3956,2.4,0,0,30,0,0,0,0,0,0,0,22,0,0,0
3973,4.133333333,0,0,84,0,0,1,0,0,0,0,74,0,0,0
3990,2.933333333,0,0,25,0,0,6,9,7,0,0,27,0,0,0
4005,1.3125,0,0,97,100,5,10,40,57,0,4,21,0,0,5
4022,15.33333333,0,0,25,2,17,15,19,29,0,2,2,0,0,5
4029,13.73333333,0,0,64,108,12,25,23,30,0,1,6,0,0,3
4050,4.733333333,0,0,75,129,20,21,25,73,0,33,3,0,0,1
4068,7.375,0,0,282,751,23,24,38,28,0,80,18,0,0,5
4086,4.4,0,450,108,800,60,19,17,20,0,0,28,0,0,40
4095,20.25,0,200,203,300,22,13,22,23,0,0,8,0,12,24
4118,0.733333333,0,0,5,400,46,11,26,15,0,0,0,45,0,6
4131,0.133333333,0,0,6,0,25,15,19,22,0,0,2,3,0,2
4140,3.266666667,0,0,2,240,92,9,26,2,0,0,0,0,0,5
4156,0,0,0,6,400,0,8,35,1,0,0,1,0,0,0
4171,0,0,0,9,400,20,5,10,0,0,0,1,0,0,1
4187,0,0,0,13,0,9,10,25,1,0,0,2,0,0,3
4198,0,0,0,12,0,0,6,14,0,0,0,22,0,0,0
4221,0,0,0,5,0,0,1,0,0,0,0,4,0,0,0
4233,0,0,0,4,0,0,5,1,0,0,0,19,0,0,0
4249,0,0,0,9,0,0,0,0,0,0,0,11,0,0,0
4270,0,150,0,1,0,0,0,0,0,0,0,1,0,0,1
4281,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
4289,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
4309,0.25,0,0,0,0,0,0,0,0,0,0,11,0,0,0
4318,0.666666667,0,0,0,0,0,1,0,0,0,0,9,0,0,1
